design_name,sample_name,ipsae,ipsae_d0chn,ipsae_d0dom,confidence_score,iptm,protein_iptm,complex_plddt,complex_iplddt,ptm,complex_pde,complex_ipde,structure_file,pae_file
design_23_0_seq65,design_23_0_seq65_model_0,0.40698,0.604632,0.537875,0.7127636075019836,0.7602453827857971,0.7602453827857971,0.7008931636810303,0.6241549253463745,0.7424569129943848,1.479753851890564,5.821666717529297,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq65/boltz_results_design_23_0_seq65/predictions/design_23_0_seq65/design_23_0_seq65_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq65/boltz_results_design_23_0_seq65/predictions/design_23_0_seq65/pae_design_23_0_seq65_model_0.npz
design_23_0_seq24,design_23_0_seq24_model_0,0.356485,0.514671,0.465486,0.7416200041770935,0.7076952457427979,0.7076952457427979,0.7501011490821838,0.6759422421455383,0.7462689876556396,1.2893972396850586,5.204336643218994,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq24/boltz_results_design_23_0_seq24/predictions/design_23_0_seq24/design_23_0_seq24_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq24/boltz_results_design_23_0_seq24/predictions/design_23_0_seq24/pae_design_23_0_seq24_model_0.npz
design_23_0_seq95,design_23_0_seq95_model_0,0.280397,0.425493,0.392855,0.6846754550933838,0.6198986172676086,0.6198986172676086,0.7008696794509888,0.6244096159934998,0.6946923136711121,1.4567155838012695,6.2411699295043945,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq95/boltz_results_design_23_0_seq95/predictions/design_23_0_seq95/design_23_0_seq95_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq95/boltz_results_design_23_0_seq95/predictions/design_23_0_seq95/pae_design_23_0_seq95_model_0.npz
design_23_0_seq30,design_23_0_seq30_model_0,0.263232,0.415168,0.376355,0.7158336043357849,0.6327270865440369,0.6327270865440369,0.7366102337837219,0.6785438656806946,0.6801274418830872,1.5707839727401733,7.500205993652344,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq30/boltz_results_design_23_0_seq30/predictions/design_23_0_seq30/design_23_0_seq30_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq30/boltz_results_design_23_0_seq30/predictions/design_23_0_seq30/pae_design_23_0_seq30_model_0.npz
design_23_0_seq61,design_23_0_seq61_model_0,0.245263,0.443455,0.38154,0.7456777691841125,0.7127441167831421,0.7127441167831421,0.7539111375808716,0.7009087204933167,0.7210903167724609,1.5096949338912964,6.625588417053223,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq61/boltz_results_design_23_0_seq61/predictions/design_23_0_seq61/design_23_0_seq61_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq61/boltz_results_design_23_0_seq61/predictions/design_23_0_seq61/pae_design_23_0_seq61_model_0.npz
design_23_0_seq59,design_23_0_seq59_model_0,0.220824,0.398985,0.344482,0.6929571032524109,0.59140944480896,0.59140944480896,0.7183440327644348,0.6491689085960388,0.6489660143852234,1.7106925249099731,7.180990695953369,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq59/boltz_results_design_23_0_seq59/predictions/design_23_0_seq59/design_23_0_seq59_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq59/boltz_results_design_23_0_seq59/predictions/design_23_0_seq59/pae_design_23_0_seq59_model_0.npz
design_23_0_seq39,design_23_0_seq39_model_0,0.214784,0.384881,0.33244,0.6919848322868347,0.5991921424865723,0.5991921424865723,0.7151829600334167,0.6669042110443115,0.6458027958869934,1.6694623231887817,7.680403709411621,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq39/boltz_results_design_23_0_seq39/predictions/design_23_0_seq39/design_23_0_seq39_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq39/boltz_results_design_23_0_seq39/predictions/design_23_0_seq39/pae_design_23_0_seq39_model_0.npz
design_23_0_seq33,design_23_0_seq33_model_0,0.161623,0.318456,0.260145,0.6654458045959473,0.5189782381057739,0.5189782381057739,0.702062726020813,0.6378364562988281,0.6067672371864319,1.825726866722107,8.911154747009277,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq33/boltz_results_design_23_0_seq33/predictions/design_23_0_seq33/design_23_0_seq33_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq33/boltz_results_design_23_0_seq33/predictions/design_23_0_seq33/pae_design_23_0_seq33_model_0.npz
design_23_0_seq34,design_23_0_seq34_model_0,0.139967,0.291648,0.238366,0.6581758856773376,0.4967241585254669,0.4967241585254669,0.6985388398170471,0.6372670531272888,0.6026334762573242,1.7796354293823242,9.212419509887695,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq34/boltz_results_design_23_0_seq34/predictions/design_23_0_seq34/design_23_0_seq34_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq34/boltz_results_design_23_0_seq34/predictions/design_23_0_seq34/pae_design_23_0_seq34_model_0.npz
design_23_0_seq77,design_23_0_seq77_model_0,0.096755,0.257454,0.190221,0.6311317086219788,0.4104579985141754,0.4104579985141754,0.6863000988960266,0.6207360029220581,0.5707262754440308,1.8731369972229004,8.734728813171387,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq77/boltz_results_design_23_0_seq77/predictions/design_23_0_seq77/design_23_0_seq77_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq77/boltz_results_design_23_0_seq77/predictions/design_23_0_seq77/pae_design_23_0_seq77_model_0.npz
design_23_0_seq20,design_23_0_seq20_model_0,0.07976,0.256004,0.181219,0.653606116771698,0.36407360434532166,0.36407360434532166,0.7259892225265503,0.6643584370613098,0.6091510057449341,1.4584205150604248,8.134485244750977,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq20/boltz_results_design_23_0_seq20/predictions/design_23_0_seq20/design_23_0_seq20_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/sat_20260228_094815/design_23_0_seq20/boltz_results_design_23_0_seq20/predictions/design_23_0_seq20/pae_design_23_0_seq20_model_0.npz
